iq,video_game
97,818
105,998
86,895
118,1325
103,1074
93,802
100,1176
110,1133
105,1142
101,876
124,1216
104,1084
96,832
78,498
118,1155
90,1126
98,1022
116,1123
113,1118
117,985
107,1235
108,1169
93,1119
74,637
103,1188
98,1003
86,1134
81,726
89,979
106,1066
126,1135
97,1009
102,1114
103,937
74,863
83,1080
96,912
93,1079
118,1158
110,1141
98,962
84,1126
108,1137
105,1129
100,754
92,856
105,1068
118,1036
116,735
113,1146
102,1119
94,864
113,945
86,788
121,1231
138,1201
102,838
90,763
105,1132
95,1024
136,1378
102,954
111,1093
102,980
81,998
121,779
83,588
109,1411
103,1010
124,1455
97,1212
86,937
112,1056
93,760
78,846
107,1012
95,910
99,1010
103,986
85,995
94,881
91,1077
116,1206
71,849
96,1275
112,959
110,1254
103,855
113,953
112,934
90,940
114,1252
115,1215
109,1132
116,1353
107,1111
80,808
82,1038
81,820
102,797
107,686
105,944
101,657
95,1125
92,877
124,1308
112,1090
103,1286
106,1063
114,1419
85,979
94,912
118,1277
100,768
102,898
98,893
99,896
86,1097
108,1068
94,1019
104,764
114,1300
104,869
103,898
97,1002
111,1105
96,1034
90,1130
98,778
95,948
96,1079
98,821
106,1108
78,753
101,1096
87,628
88,1058
93,912
94,845
92,1096
69,736
112,1268
89,548
95,900
84,815
96,788
146,1126
102,977
87,709
84,627
113,988
88,1156
89,1037
82,908
78,767
85,814
127,997
87,955
77,820
125,1336
97,1201
107,813
127,1011
132,886
82,1021
130,1392
97,951
72,869
93,1045
101,1058
127,1461
103,1004
102,1143
101,956
96,934
94,1068
116,1072
133,1296
116,1159
124,1107
90,689
107,1259
92,1188
71,864
114,1004
92,1053
121,1249
89,881
93,944
91,790
96,992
98,1167
83,975
114,1114
89,710
89,777
110,1386
88,796
106,1070
89,1009
104,1093
120,1332
121,1280
95,952
70,581
143,1320
118,996
110,1055
105,929
108,1075
83,1170
104,1103
107,767
91,631
110,1222
116,1335
98,917
86,746
115,1025
101,970
70,792
102,972
96,830
110,739
84,798
128,1271
98,911
72,799
104,1012
105,1031
87,820
54,586
97,807
115,995
106,893
96,1015
104,1146
85,774
113,1217
108,883
107,1159
117,1142
97,1122
88,849
110,1283
77,587
86,996
105,844
97,978
118,1127
104,1000
105,1082
87,1159
96,965
106,1167
121,1122
63,640
114,1011
105,1069
100,853
114,1154
100,858
98,925
120,1035
120,1352
100,1097
90,989
84,785
92,997
92,767
96,966
107,1049
90,829
133,1502
99,1072
125,1065
81,430
108,1160
89,678
110,1192
121,858
93,953
136,990
103,709
77,1105
90,774
103,718
114,1155
103,1116
116,1142
89,1010
103,1095
107,990
84,710
118,1391
101,1029
120,1002
109,1217
99,990
94,969
127,950
89,776
131,1289
102,829
124,1265
125,1200
102,1003
111,1049
95,701
96,1167
113,1204
106,949
96,898
93,856
107,892
110,1249
78,1132
97,998
82,776
107,1077
116,1261
126,1189
112,1137
72,708
113,1001
106,1077
89,1019
96,1120
91,812
120,975
102,849
87,606
91,990
115,1288
105,805
102,1232
113,1160
110,861
95,946
95,879
105,1204
88,786
110,954
94,978
63,688
85,696
104,1275
96,986
110,1160
124,1355
103,1491
114,1048
106,1060
89,1082
121,1285
108,1110
100,577
106,858
73,675
94,1019
69,482
113,1302
99,783
83,1080
107,848
112,1063
102,1216
102,1181
92,899
79,791
90,996
100,1107
91,822
99,983
85,782
103,961
101,1038
103,905
97,983
115,1430
118,1030
108,1295
70,1074
99,1079
111,1265
99,1001
57,820
103,1084
72,700
88,876
113,1308
108,1108
120,1118
108,1001
86,1148
93,768
122,1269
104,956
94,824
104,1256
112,1230
127,1323
83,1014
94,942
88,1011
96,926
99,879
102,865
121,1231
93,847
93,960
111,1080
113,1230
91,848
89,967
88,1355
119,1111
88,1079
83,714
117,1385
118,1271
95,818
101,966
72,744
100,1211
127,1220
86,596
88,889
87,946
106,678
72,653
99,1199
72,826
111,847
107,1123
90,1069
110,1190
106,907
90,899
111,1089
105,776
112,1482
95,1062
111,1152
99,1087
62,431
87,691
88,1008
98,1117
75,499
105,1283
87,955
79,1023
85,649
80,754
107,921
116,967
83,471
90,781
117,961
99,857
141,1224
122,1153
102,1193
95,1071
108,994
86,935
102,1201
113,1351
112,1226
90,851
75,753
93,1062
112,991
120,1217
75,869
119,879
100,1091
130,1017
100,988
100,875
79,869
85,1021
83,1099
138,1327
136,1397
96,989
88,782
62,814
100,1193
82,847
124,1496
85,887
97,1080
149,1702
72,989
102,1091
85,807
97,1161
81,939
107,931
84,1109
89,731
112,840
112,1194
123,1259
88,675
100,915
114,1233
86,786
72,468
79,956
83,886
106,937
99,873
98,1115
95,915
99,1146
97,907
114,1242
81,996
104,1050
96,741
94,1153
102,961
88,552
101,939
118,1179
110,1109
101,1045
82,814
114,1231
92,1140
99,850
115,1383
84,937
100,1111
108,1354
101,1211
102,863
103,805
104,1077
110,1050
103,971
124,1153
101,961
113,565
102,1169
65,679
97,1178
113,998
98,949
82,843
103,817
112,1397
98,765
72,538
105,1220
93,922
112,650
82,808
113,821
111,1098
95,855
82,1032
121,1116
98,934
105,871
97,821
121,1045
87,826
102,1277
95,1364
88,995
107,1207
102,1328
125,867
135,1258
64,788
79,864
87,682
105,990
117,1342
132,1165
107,1077
105,1249
88,1109
99,1185
98,1165
85,929
98,919
98,986
111,1356
78,929
61,776
111,1132
94,785
99,853
106,1241
93,817
99,888
113,1371
109,1075
99,1215
91,1068
87,769
79,743
98,944
123,1414
107,979
101,1046
88,1279
95,928
85,700
142,1395
96,903
103,849
76,685
102,885
108,802
92,1011
79,640
128,1268
130,1224
108,1146
94,679
106,1182
95,978
90,1026
116,1276
80,830
101,805
92,850
101,997
76,757
98,774
106,1172
113,988
80,929
110,1070
72,503
107,780
103,1211
86,950
88,1156
71,817
120,1033
71,729
108,780
104,859
113,844
78,1000
121,1370
78,785
100,1088
66,401
97,1042
111,1041
83,845
111,1111
103,1085
105,1284
89,853
85,860
75,706
96,934
86,704
109,1132
96,1086
134,1327
73,955
115,1226
78,1110
92,586
95,1270
85,691
94,706
89,893
105,1007
87,811
120,1111
91,694
109,951
97,1093
95,685
100,848
81,1022
103,1305
126,1207
84,841
117,1111
102,951
72,671
106,647
115,967
100,1052
66,579
106,1135
106,1150
102,865
89,898
128,1328
87,1143
106,913
80,866
85,725
73,823
88,1007
100,1492
126,1283
119,1301
110,1326
95,983
86,755
90,1019
78,433
94,965
121,1307
99,1060
108,1290
105,1108
102,695
121,1346
102,948
76,971
98,1058
83,683
110,1173
106,1096
102,839
103,785
114,1153
100,622
87,818
108,1042
103,798
113,1158
93,1023
110,1293
108,1070
72,567
69,937
121,1175
117,1017
84,870
81,773
120,1097
90,848
120,1378
133,1187
78,778
80,963
86,742
106,1162
69,960
81,528
124,1402
110,1229
117,1068
94,838
107,906
112,1066
85,742
92,1062
101,1045
127,1236
114,1038
112,1305
94,1130
88,764
98,906
75,747
114,1142
122,1218
99,992
95,713
122,1093
102,1026
90,999
114,1211
96,776
117,1180
83,930
120,874
118,1079
67,971
100,1151
100,962
100,1248
96,765
111,817
119,1238
90,1197
108,1183
89,1070
76,961
100,994
83,795
80,339
130,1012
73,980
75,686
109,1233
103,951
86,980
103,898
99,856
120,1089
108,1149
82,626
104,1069
116,1046
111,1091
71,523
101,909
129,1323
111,1136
78,686
65,883
105,1103
95,1011
117,1118
108,997
104,977
100,1067
97,1096
88,710
140,1305
85,689
97,1040
90,943
123,1338
110,1233
95,868
105,1011
117,1195
128,1419
115,905
84,844
89,802
136,1236
74,603
140,1556
91,1030
97,873
97,1095
114,1148
100,1116
66,753
115,924
98,1191
107,1141
78,923
56,747
91,1013
90,799
93,821
85,859
88,1025
100,891
104,1238
116,1133
84,937
94,975
114,943
113,1325
102,959
79,669
103,1048
87,1130
123,1325
105,1050
84,991
106,756
101,801
116,854
116,842
123,1013
121,834
103,833
85,860
106,1145
97,1026
106,984
117,1168
117,1401
85,855
124,1267
78,985
105,1024
109,955
95,967
113,1321
96,821
98,1264
93,1091
90,795
112,1280
73,609
102,783
81,703
95,1136
89,1246
94,673
97,1273
94,713
106,1155
97,1128
111,1114
91,782
92,1144
90,972
79,760
111,912
124,1318
87,949
104,873
107,1153
102,980
121,1418
110,1124
140,1288
109,1006
95,662
108,1037
81,928
86,825
96,990
111,1190
108,1010
106,1210
116,1119
92,1054
78,432
99,1307
127,1416
92,1127
86,701
95,942
81,920
97,1032
109,1119
109,1188
116,869
90,801
111,1149
133,1034
126,1464
91,943
105,1109
114,1247
106,874
110,1050
107,981
103,912
77,1382
119,1087
107,1056
106,754
80,470
91,840
107,905
64,586
123,1487
77,784
82,830
119,1270
82,459
97,1312
86,1068
113,982
107,1223
92,762
96,801
71,311
79,936
95,1211
99,1203
131,1303
98,1049
97,1205
106,941
104,776
109,1147
110,1028
103,1009
94,790
88,1154
110,1151
114,1053
93,917
79,1041
108,1081
122,1085
98,1077
101,880
99,693
93,939
72,842
91,867
123,1100
117,1168
90,824
108,972
97,1073
84,621
100,1287
93,411
76,876
101,1350
86,997
101,909
82,660
74,827
116,915
100,934
90,920
89,668
75,952
134,1275
82,1135
99,1288
109,1165
113,1103
97,1148
98,573
78,933
108,1165
82,776
103,1154
89,960
88,1015
86,904
101,911
122,1012
108,1050
98,940
105,1251
125,1255
108,896
116,959
115,902
91,767
92,780
118,1443
118,1067
104,1217
102,1032
106,1091
94,1137
108,908
99,1101
81,892
122,1569
109,1168
97,951
117,1208
100,776
131,1192
98,888
79,451
123,1176
110,1279
91,843
93,594
75,684
104,850
84,564
83,943
104,1002
111,1163
99,722
98,978
87,1268
128,1240
92,770
77,736
82,579
115,996
100,979
115,1071
97,994
94,1221
98,1107
111,859
87,951
118,1208
87,1032
108,1131
95,1133
126,1283
117,1021
98,900
93,1095
95,1029
69,667
127,1240
114,1196
93,815
113,956
111,934
85,797
120,1260
100,911
106,990
96,1198
93,736
88,767
95,1045
121,927
101,1018
109,1134
110,983
103,1162
86,679
102,1220
99,730
81,1088
106,887
77,719
110,825
105,772
90,871
94,884
121,1166
80,819
95,992
65,582
90,890
87,1001
126,1204
80,930
89,834
81,756
96,1124
100,1417
82,816
84,1063
101,1477
99,761
96,1301
108,1033
83,757
117,1210
107,1188
83,1063
88,844
85,1069
102,1268
94,877
67,781
111,798
113,1108
72,959
93,1016
89,708
105,981
98,980
91,1107
97,820
100,745
119,1059
96,1095
108,826
57,426
83,779
110,1134
86,1041
71,960
92,956
110,735
96,880
120,906
128,1173
125,1013
126,1092
96,930
107,1208
85,857
94,1034
124,1457
110,855
102,864
89,938
115,1072
133,1307
101,1131
94,989
129,1360
98,742
103,1371
89,998
97,677
119,1187
82,599
101,881
102,983
89,990
77,722
98,800
81,692
134,1237
73,700
79,527
114,1068
112,1167
75,1272
104,870
101,1255
122,1199
78,733
127,1105
100,1076
103,833
127,1093
114,1153
117,1232
103,857
100,1283
110,977
92,924
120,1366
91,1185
103,935
110,1061
109,1017
83,978
108,869
151,1251
92,1084
98,916
102,1232
97,1182
99,825
83,843
101,1294
105,969
99,1190
102,868
87,588
107,931
131,1440
64,970
84,869
97,563
94,953
126,1139
95,1020
98,941
74,887
107,926
109,1255
135,1341
112,1307
97,732
99,836
110,1080
105,932
97,1146
77,838
80,1121
80,943
87,847
98,767
93,948
102,972
119,973
82,1065
88,857
121,1297
118,1109
97,1292
117,1386
85,858
127,1375
124,1121
101,1092
117,999
93,1121
95,1026
80,699
115,1065
125,1426
121,1463
113,884
103,920
108,960
110,1284
117,1306
107,1056
109,1274
97,1038
96,1236
110,1298
162,1466
99,993
92,865
107,1063
86,1048
103,1188
107,1030
131,1050
88,812
92,674
119,1309
105,1017
88,831
97,658
89,949
107,1124
92,915
108,1369
109,970
94,1155
105,926
100,898
108,825
115,1207
88,685
114,1195
82,1121
106,1190
98,1006
84,735
115,920
89,919
114,1221
99,709
80,630
93,788
95,869
86,893
88,1074
99,800
87,1035
96,1169
88,739
123,962
107,907
94,1066
71,667
82,1135
97,837
119,1051
106,1415
108,1334
92,705
95,779
92,1073
77,936
69,840
109,1163
102,992
111,1068
75,913
94,960
92,689
89,848
109,959
93,807
80,918
97,564
76,809
87,865
120,1346
95,827
94,676
77,804
88,1117
94,940
112,932
91,1017
112,1153
116,1044
107,1291
106,1005
111,1249
110,831
112,1169
105,870
88,914
78,866
93,844
92,837
98,1242
98,1015
96,830
94,754
110,1409
95,979
84,773
92,959
96,1087
121,1013
101,962
106,958
83,852
107,1188
104,988
100,1264
118,1308
105,1001
95,964
85,933
94,874
79,958
111,989
88,629
72,753
90,892
117,1155
95,1109
87,998
98,1267
91,995
98,983
104,969
112,1226
118,1215
111,1316
106,1272
106,1042
116,1456
132,1300
117,1242
94,1007
75,964
96,1120
87,985
108,984
96,851
111,1189
133,1339
110,1215
107,1179
98,1043
133,1340
100,977
121,1207
123,1255
105,992
44,587
108,770
110,1034
84,753
87,711
123,1007
78,297
100,1085
100,909
93,853
103,983
91,1139
97,1132
104,997
82,1052
109,972
124,1168
107,1148
125,1199
107,807
103,1169
111,1034
91,862
90,848
114,1490
89,852
119,1088
104,853
86,795
65,922
77,880
80,564
81,935
120,1078
105,718
115,1426
106,857
84,879
94,983
86,981
88,1008
110,892
101,1020
112,1113
109,1071
96,1335
115,842
104,654
114,970
94,1227
95,930
97,898
114,1198
112,1315
92,1155
96,917
129,1202
86,739
94,759
96,1369
88,825
116,1111
77,975
106,1117
91,1064
108,1216
127,1115
96,1018
110,1092
79,637
99,922
102,536
104,1024
102,965
86,1109
93,1033
108,1237
102,921
114,1482
70,720
108,1023
131,1346
94,679
73,1080
97,894
97,1071
107,813
97,880
126,1344
97,1085
116,1179
49,621
124,1079
110,1342
86,1021
104,870
120,1330
104,959
124,1045
110,1079
94,1025
99,915
88,657
58,801
95,1060
102,1066
91,947
112,1064
114,987
88,1039
104,966
112,1310
113,936
113,1113
94,1256
126,1269
93,1131
86,834
100,837
102,1064
96,957
97,987
99,1261
82,968
70,725
130,1318
105,1083
114,1185
106,808
102,1006
62,750
119,873
100,1176
85,882
90,940
116,1272
118,919
108,794
104,1078
72,903
112,1258
73,687
85,849
114,1048
110,1274
79,661
114,1026
113,942
94,1071
103,740
92,803
92,1171
115,1227
85,667
84,841
113,1412
94,649
83,282
87,1185
96,1175
100,1010
97,726
105,1059
103,899
114,1138
99,1128
118,1000
95,1187
93,1238
121,987
74,524
102,1162
86,709
101,1125
113,1294
104,791
85,913
99,989
113,1395
103,992
103,1008
95,868
91,934
94,1036
91,554
121,1166
97,921
76,608
96,1044
99,924
72,735
130,1327
80,873
77,821
114,973
106,1287
95,999
104,1034
87,785
111,1197
120,846
107,938
94,1347
121,1078
90,875
103,1128
90,776
136,1310
113,986
102,958
77,1142
105,858
94,692
106,946
107,1111
94,893
101,688
83,639
112,1041
89,1271
110,792
89,955
113,911
84,722
79,755
80,748
101,853
119,1021
118,1016
88,968
115,1313
94,675
92,933
91,859
104,1008
79,654
117,1190
120,1161
105,1291
95,1046
106,1334
98,1198
113,1171
102,1043
108,992
91,359
98,830
115,1158
102,1007
91,686
91,773
93,900
122,1471
86,1134
97,808
65,726
73,690
105,1373
75,1042
108,1476
88,1048
70,576
127,1423
89,755
95,886
97,1071
98,981
72,837
83,691
118,1254
101,735
109,1176
129,1218
91,846
95,820
89,429
131,1258
89,884
100,862
81,768
105,1197
124,1258
111,928
90,996
75,735
104,1485
112,1082
102,960
117,1207
128,1093
93,927
87,730
108,1235
98,1273
96,869
134,1676
60,625
111,849
115,1203
125,1193
109,1233
91,1180
102,1261
114,1007
98,1014
99,692
115,1235
101,862
91,1014
113,921
92,1111
69,711
94,924
106,1139
123,1135
83,774
96,819
86,313
113,1189
93,1099
119,1028
84,1010
118,838
110,1216
97,956
116,1085
98,1265
77,747
98,1137
65,578
95,966
98,833
123,1002
114,917
83,1016
102,912
91,1197
81,892
81,1009
82,802
66,910
99,831
97,1030
89,584
106,1086
88,922
92,1217
106,971
100,863
75,647
67,871
78,389
118,1250
88,1028
131,1272
79,759
132,1104
116,1170
94,812
108,1146
99,1220
87,1121
121,1263
93,993
123,1422
86,755
126,1120
100,807
95,1196
96,1028
100,946
110,830
101,1314
82,1252
115,1290
110,906
92,1172
104,924
95,918
114,880
120,1081
107,1194
108,1245
135,1147
101,1111
110,914
125,1220
85,1189
87,816
90,813
85,973
80,753
116,1299
89,942
102,1372
125,1520
101,838
100,1128
82,1034
150,1368
85,811
106,1338
120,1037
107,1241
108,1255
110,1090
105,1157
89,832
110,1034
90,996
139,1488
116,1052
104,1256
69,627
87,704
90,779
99,801
98,821
103,1191
108,811
92,996
122,1130
77,548
104,926
120,1045
121,1103
96,981
97,880
96,986
105,776
93,944
81,776
105,868
108,975
94,888
89,747
76,740
97,903
128,1242
86,985
96,825
136,1506
63,802
104,998
113,1065
89,972
121,1147
110,1160
106,936
83,811
112,950
88,1055
88,839
110,924
114,1025
90,1115
120,1037
76,421
97,1312
93,884
97,1150
118,1167
104,1003
101,1016
74,406
92,666
118,1027
84,709
92,1067
102,1083
91,998
90,827
88,634
101,1080
76,639
94,745
92,1072
77,961
99,953
104,1256
102,979
97,1085
128,1193
102,929
108,999
65,756
98,1041
86,919
78,856
115,1157
107,894
101,1332
94,754
65,607
105,986
111,1186
139,1380
113,1139
106,1307
92,888
102,1105
101,819
115,950
74,926
94,945
67,922
98,1042
111,1013
101,1005
96,827
96,967
80,677
108,815
79,645
99,1007
115,1429
108,1147
123,1227
123,1179
107,781
101,1122
76,666
119,1070
93,833
112,1178
82,574
120,1145
96,869
123,1207
104,939
91,898
116,966
110,842
102,753
86,871
128,1484
84,872
108,1098
110,793
90,767
89,653
89,616
91,617
75,804
108,1137
96,967
133,1266
103,1184
120,1318
104,1123
110,1176
108,1067
101,837
123,1015
104,942
117,1135
83,941
108,1253
94,968
83,913
76,640
118,1345
105,1115
111,831
103,1218
101,1012
68,969
69,652
93,1025
89,1033
79,904
102,1122
89,1043
118,1048
124,1142
80,1054
80,954
96,1104
117,1282
78,682
90,832
69,1168
96,1198
126,1505
94,910
107,756
71,788
88,792
117,1042
74,1087
92,938
93,965
98,1007
115,1383
108,1337
126,1366
78,638
97,875
113,1206
85,1091
118,875
105,702
75,671
80,838
124,1354
110,771
120,1377
106,1230
108,1143
110,1454
88,595
79,1069
86,1084
92,775
81,1173
69,668
87,662
106,1136
99,1104
125,1134
94,958
97,906
92,963
75,1003
97,1134
79,861
105,1111
106,860
118,1036
100,1446
94,932
102,814
103,939
91,882
117,1342
99,987
104,1255
100,1138
117,1286
100,923
72,422
102,1192
102,599
120,904
86,845
112,809
97,845
98,939
85,974
80,924
83,1310
87,743
88,1066
90,1030
109,650
114,1433
64,816
107,913
90,699
71,918
92,1090
127,1421
124,1191
110,930
90,899
123,1431
90,1057
87,858
78,807
91,918
95,1666
105,1325
109,1081
76,737
103,855
112,1230
99,905
92,860
108,909
94,826
103,828
120,1593
111,1050
108,1348
92,1121
95,900
109,1109
90,604
121,1241
85,1130
45,663
78,987
96,907
137,1216
101,953
86,658
91,1025
83,913
80,700
90,896
55,949
142,1391
95,1163
100,1228
82,834
111,1320
110,1059
75,997
101,951
99,869
122,1160
110,804
107,1291
105,1193
100,889
95,1054
83,922
98,844
77,814
98,874
95,932
106,845
131,1478
96,1107
85,672
112,1166
113,724
114,1316
101,1008
121,1298
98,1017
91,931
125,1374
88,674
105,1090
86,845
109,1306
99,1169
99,863
96,914
118,1074
81,876
89,876
96,1204
109,1155
88,547
97,1110
80,853
95,839
110,1336
107,1263
104,875
93,762
106,1028
130,1168
99,1340
103,1106
112,860
111,1235
120,1062
98,1316
99,756
62,543
86,983
116,1252
104,884
88,930
73,638
100,782
75,1046
90,921
98,1065
95,989
115,1248
73,802
75,802
90,735
95,1062
124,1459
119,1230
89,1013
83,953
117,1230
115,913
86,1038
92,1093
125,1088
104,913
104,1018
108,1168
93,896
71,663
104,941
124,1119
102,914
107,1139
100,804
83,900
112,998
91,979
99,1325
112,1180
96,900
102,1003
113,1152
118,1283
93,959
90,959
90,1020
113,1257
96,785
91,889
94,996
81,787
94,928
95,928
100,1025
97,1281
134,1107
123,978
80,812
112,1375
123,974
91,1152
119,1229
100,1202
94,1030
103,754
113,1147
67,647
102,919
84,809
70,678
118,836
104,897
74,622
103,859
108,1041
107,1142
112,948
114,1074
94,1157
116,915
101,952
84,852
111,935
107,1237
137,1320
104,789
104,956
70,640
88,882
114,1270
97,949
100,1202
113,1067
84,873
104,948
87,1262
86,1084
94,1153
100,769
92,696
115,985
116,1288
96,1119
114,785
97,930
120,1238
114,1202
115,1304
99,1233
103,1061
118,930
105,1029
90,710
138,1256
84,805
111,1188
78,851
91,804
92,858
90,706
99,984
85,900
103,1011
126,1378
104,1210
84,615
100,1174
90,1163
141,1139
119,924
91,1034
84,766
94,1099
119,1171
96,732
86,918
115,1148
112,1171
93,994
90,955
100,897
108,1294
87,1203
95,1167
120,1317
120,1043
120,1172
124,1300
107,796
97,998
98,1089
110,1034
95,888
104,1029
92,849
100,1133
81,920
105,851
108,1399
89,1032
89,898
108,1096
61,453
104,985
111,920
127,1481
81,1064
88,879
136,1329
101,1116
105,927
106,1103
91,956
87,739
107,1188
92,1141
89,1118
89,680
87,890
106,1091
88,822
112,1018
112,1282
117,1107
85,725
116,826
94,1081
105,1265
95,1209
76,857
95,951
104,1360
117,1110
124,1329
83,879
97,796
91,995
116,1140
112,877
121,1244
112,1039
105,978
127,1292
114,1000
106,1171
116,795
91,1061
94,822
77,852
104,865
103,963
118,1409
114,1230
105,810
122,1040
85,811
100,1038
105,1101
80,662
116,1212
98,785
84,563
75,890
61,820
94,930
121,1017
100,804
95,632
100,879
85,1207
103,1048
112,994
105,850
98,1006
117,1180
123,1254
83,928
110,1044
102,986
113,1303
120,1061
110,1257
92,1005
113,1206
116,1041
82,794
97,701
122,1190
95,899
118,1225
109,1109
92,727
88,977
91,660
100,1066
51,394
115,1232
117,875
102,1261
97,965
122,1223
101,1059
97,684
118,731
111,1175
83,709
101,959
93,806
97,478
130,1343
102,1035
111,1030
104,992
76,756
96,1087
119,1230
114,1310
87,993
114,1352
122,1238
113,1115
117,1372
108,1262
103,1146
67,745
98,1281
98,1062
72,1087
97,981
92,746
116,1223
106,857
93,613
102,1031
86,726
76,845
77,664
91,883
97,875
113,1191
88,955
100,1421
93,620
82,906
83,851
97,524
93,880
96,1020
100,746
97,1049
117,1128
106,1262
66,846
101,1100
82,836
95,1004
91,1136
95,835
90,842
110,905
93,1119
74,730
81,921
126,1117
99,807
109,1075
88,1089
87,934
94,1107
104,1013
118,1041
98,949
89,840
81,789
63,593
108,1083
109,880
105,1315
90,952
111,1087
103,1136
85,770
97,1041
120,1307
87,823
95,1095
104,1183
94,995
111,1123
103,1162
95,772
96,1103
95,967
113,987
79,885
97,1010
111,873
96,1172
97,1100
82,861
79,934
107,707
78,834
132,1278
94,1111
86,1052
92,1044
98,880
92,1081
87,1114
96,822
86,1063
86,927
85,912
114,1024
92,923
110,1395
112,884
111,1171
92,944
66,661
102,986
120,1140
84,1195
86,1026
94,1183
101,994
98,683
121,1309
95,992
72,835
71,913
113,1019
109,1387
116,1187
98,1028
102,1314
115,1082
109,914
103,965
125,1219
67,581
99,1071
90,987
97,418
89,897
96,1010
95,902
112,1196
106,1169
81,865
112,1026
107,1189
81,830
100,910
112,1434
102,1161
111,1186
118,1386
101,1034
99,1104
121,1101
99,1015
110,999
101,790
86,897
90,1115
102,775
105,1215
81,1021
86,917
86,869
108,1302
107,771
101,773
105,893
95,901
114,1413
100,1252
88,902
97,1150
98,1120
109,1283
102,868
113,1126
113,1251
124,1393
100,993
97,1065
114,1254
97,1149
110,945
116,1276
114,1124
116,783
75,750
100,960
113,1225
99,825
67,614
100,1097
93,874
98,991
99,977
73,942
104,884
89,961
91,1039
87,981
82,1085
93,897
117,1427
123,897
102,1089
122,1318
106,599
116,992
81,900
88,987
115,977
88,967
92,942
121,1241
118,1335
82,979
102,957
115,1153
83,555
94,919
108,1228
109,1021
102,864
86,835
113,1110
132,1085
61,745
94,943
122,1399
122,879
102,905
78,885
100,864
106,1193
113,892
89,987
84,891
97,997
82,812
135,1487
130,1165
108,1140
98,1067
99,846
120,1395
77,855
111,1200
90,1218
107,1221
107,1409
96,1055
99,1092
68,433
95,1007
101,1290
139,1260
92,693
102,1053
101,989
109,1370
96,963
100,1004
88,820
99,1008
90,714
97,992
76,1109
101,927
87,925
123,1291
96,845
91,1115
97,896
114,1064
116,1235
81,1137
85,837
108,1036
106,1116
89,1022
97,1283
101,1065
80,811
107,1120
79,859
116,1264
104,1081
144,996
94,1050
90,568
83,733
116,1253
88,942
86,837
114,917
107,808
94,692
66,545
103,800
104,1080
86,1071
104,893
87,1011
96,1145
107,1157
122,1176
90,568
110,937
93,1005
123,1062
124,1470
95,1062
93,1256
110,1242
113,1377
129,1043
65,735
73,957
98,917
120,1416
91,1171
100,1032
115,834
108,1100
120,1192
116,1142
71,546
70,645
107,880
111,1129
80,702
110,1118
86,810
99,1107
104,948
84,801
125,1287
96,1315
138,1510
116,1048
98,911
108,845
98,837
78,842
71,620
113,822
126,1196
115,935
99,903
110,1147
102,1043
103,1165
105,1112
97,978
104,1326
106,1040
79,723
117,997
131,1286
103,1075
123,1399
93,1273
106,1114
90,1056
59,814
87,768
103,894
85,804
74,791
103,947
92,900
129,1473
97,1084
106,1077
105,1110
105,948
99,1254
99,1206
116,1054
107,1263
125,1031
96,1074
69,969
58,620
94,917
87,635
98,909
91,1036
102,1082
123,1286
123,1299
109,1205
95,1149
103,1118
99,997
76,747
125,1360
123,1111
117,1195
105,751
111,1066
