age,diet,height,pets,sex,status
22,strictly anything,75,likes dogs and likes cats,m,single
35,mostly other,70,likes dogs and likes cats,m,single
38,anything,68,has cats,m,available
23,vegetarian,71,likes cats,m,single
29,NA,66,likes dogs and likes cats,m,single
29,mostly anything,67,likes cats,m,single
32,strictly anything,65,likes dogs and likes cats,f,single
31,mostly anything,65,likes dogs and likes cats,f,single
24,strictly anything,67,likes dogs and likes cats,f,single
37,mostly anything,65,likes dogs and likes cats,m,single
35,mostly anything,70,NA,m,available
28,mostly anything,72,likes cats,m,seeing someone
24,NA,72,NA,m,single
30,mostly anything,66,has dogs and likes cats,f,single
29,mostly anything,62,likes dogs and has cats,f,single
39,strictly anything,65,likes dogs and has cats,f,single
33,NA,70,likes dogs and likes cats,m,single
26,NA,64,NA,f,single
31,mostly vegetarian,71,likes dogs and likes cats,m,single
33,mostly anything,72,likes dogs and likes cats,m,single
27,mostly anything,67,likes dogs and dislikes cats,f,single
22,NA,67,likes dogs and likes cats,f,single
30,mostly anything,69,likes dogs and likes cats,m,single
30,strictly vegan,71,likes dogs and likes cats,m,single
33,strictly anything,73,likes cats,m,single
28,anything,70,has dogs,m,single
22,mostly anything,72,likes dogs and dislikes cats,m,single
22,anything,67,has dogs and dislikes cats,m,single
30,NA,74,likes dogs and likes cats,m,single
32,NA,68,NA,m,single
27,anything,64,NA,f,single
27,anything,72,likes dogs,m,single
38,mostly anything,67,NA,f,single
20,mostly vegetarian,60,has dogs and likes cats,f,single
27,strictly anything,69,likes dogs and likes cats,m,single
26,NA,69,NA,m,single
32,mostly anything,69,likes dogs and dislikes cats,m,single
25,mostly anything,69,likes dogs and likes cats,m,single
27,NA,63,NA,f,single
35,NA,74,NA,m,single
30,NA,76,likes cats,m,single
35,strictly anything,72,NA,m,single
30,strictly anything,75,NA,m,single
40,NA,71,likes dogs,m,single
29,anything,66,has cats,f,single
27,mostly anything,69,NA,m,single
27,mostly anything,73,NA,m,single
28,anything,70,NA,m,single
31,strictly anything,67,NA,f,single
26,mostly anything,66,likes dogs and likes cats,f,single
33,NA,66,NA,f,single
38,anything,65,likes dogs,f,single
31,mostly anything,69,likes dogs and likes cats,m,single
36,NA,69,has dogs,m,single
33,mostly anything,69,likes dogs and likes cats,m,single
33,anything,70,likes dogs and has cats,m,single
26,anything,71,NA,m,single
21,NA,72,NA,m,single
22,NA,70,has dogs and has cats,m,single
31,NA,71,likes dogs and likes cats,m,single
31,mostly anything,67,likes dogs and dislikes cats,m,seeing someone
35,mostly vegetarian,75,likes dogs and likes cats,m,single
31,strictly anything,70,NA,m,single
28,mostly vegetarian,67,likes dogs,f,single
28,anything,72,NA,m,single
29,mostly vegetarian,68,NA,m,single
22,mostly anything,65,NA,m,single
30,NA,66,likes dogs and has cats,f,single
31,strictly anything,69,likes dogs and likes cats,f,single
29,NA,76,likes dogs and likes cats,m,single
25,NA,62,NA,f,single
33,mostly anything,67,likes dogs,f,single
35,mostly anything,73,likes dogs and likes cats,m,single
31,mostly anything,61,NA,f,single
28,strictly anything,72,likes dogs and has cats,m,single
29,strictly vegetarian,67,NA,f,available
26,mostly anything,72,likes dogs,m,single
25,NA,65,likes dogs and has cats,f,seeing someone
34,mostly anything,67,NA,f,single
21,mostly anything,71,likes dogs and likes cats,m,single
28,NA,67,NA,f,single
31,mostly anything,69,likes dogs and likes cats,m,single
34,anything,69,likes dogs and has cats,m,single
32,NA,64,likes dogs and likes cats,f,single
30,NA,73,likes dogs,m,single
28,NA,68,likes cats,m,single
40,anything,66,likes dogs and likes cats,f,single
27,mostly anything,61,NA,f,single
43,NA,71,NA,m,single
37,mostly anything,64,likes dogs and has cats,f,single
24,anything,74,NA,m,single
29,NA,74,NA,m,single
29,NA,67,NA,f,available
28,mostly vegetarian,69,likes dogs,m,single
29,mostly anything,67,likes dogs and likes cats,m,single
25,mostly anything,78,likes dogs and likes cats,m,single
34,mostly other,75,likes dogs and has cats,m,single
39,NA,70,NA,m,single
31,anything,66,likes dogs,f,single
46,mostly anything,72,NA,m,single
38,NA,71,NA,m,single
30,strictly anything,68,NA,m,single
41,mostly anything,69,NA,m,single
39,mostly other,70,likes dogs,m,single
31,anything,63,likes dogs,f,single
42,mostly anything,65,likes dogs,f,single
45,mostly anything,64,likes dogs,f,single
21,mostly anything,72,has dogs,m,single
28,NA,64,likes dogs,f,single
29,strictly anything,66,NA,m,single
36,NA,68,NA,m,single
28,NA,71,likes dogs,m,single
24,NA,74,NA,m,single
23,mostly anything,66,likes dogs and likes cats,f,single
36,strictly anything,70,likes dogs and likes cats,m,seeing someone
35,NA,72,NA,m,single
18,NA,68,NA,m,single
55,NA,67,likes dogs and likes cats,m,single
21,mostly vegetarian,65,likes dogs and likes cats,f,single
28,mostly anything,66,likes dogs and likes cats,f,seeing someone
24,NA,71,has cats,m,single
50,mostly anything,75,dislikes dogs and has cats,m,single
23,anything,66,likes dogs and likes cats,m,single
21,strictly anything,70,likes dogs,m,single
27,mostly anything,62,NA,f,single
27,NA,68,likes dogs and likes cats,m,single
43,NA,73,NA,m,single
27,strictly anything,68,likes dogs and likes cats,m,available
26,NA,71,likes dogs and likes cats,m,single
26,NA,66,NA,m,available
30,NA,69,likes cats,m,available
32,mostly vegetarian,68,has dogs,f,seeing someone
43,mostly vegetarian,68,likes dogs and has cats,f,single
39,anything,68,has dogs,f,single
22,strictly anything,68,likes dogs and likes cats,m,single
33,NA,67,NA,f,single
24,mostly vegan,75,likes cats,m,single
50,mostly anything,73,has cats,m,single
32,NA,67,likes dogs,m,seeing someone
23,NA,73,NA,m,single
32,anything,62,NA,f,single
59,anything,73,likes dogs and likes cats,m,single
36,anything,73,likes dogs and likes cats,m,single
29,NA,74,NA,m,single
39,mostly anything,63,NA,f,single
24,NA,67,likes dogs and likes cats,m,single
28,NA,70,NA,m,single
50,NA,66,likes dogs and dislikes cats,m,single
32,NA,64,likes dogs,f,single
41,NA,67,likes dogs and likes cats,f,single
50,mostly vegetarian,63,likes dogs,f,single
44,NA,68,has dogs and likes cats,m,single
48,mostly anything,68,has dogs and has cats,m,single
24,NA,75,NA,m,available
26,strictly anything,73,likes dogs and likes cats,m,single
29,mostly anything,61,NA,f,single
40,NA,62,NA,f,single
29,vegetarian,68,likes dogs,f,single
54,mostly anything,69,likes dogs and has cats,f,single
20,NA,63,likes dogs,f,single
51,NA,62,likes dogs and has cats,f,single
33,NA,66,has dogs,f,single
28,NA,66,NA,m,single
37,NA,66,NA,f,single
20,anything,72,NA,m,single
30,NA,74,NA,m,single
36,mostly anything,72,NA,m,single
26,mostly anything,63,likes dogs and likes cats,f,single
26,mostly anything,68,likes dogs,f,single
33,anything,66,has dogs and likes cats,f,single
20,NA,66,NA,f,seeing someone
31,strictly other,70,likes dogs and has cats,m,single
62,anything,73,likes dogs,m,single
33,NA,63,likes dogs and has cats,f,single
22,NA,69,has dogs and dislikes cats,m,single
46,NA,66,NA,m,single
27,mostly anything,68,likes dogs and has cats,m,single
29,mostly halal,72,has dogs and dislikes cats,m,single
36,strictly vegetarian,68,has cats,f,single
25,mostly anything,71,likes dogs and dislikes cats,m,single
32,mostly anything,69,has dogs and likes cats,m,single
21,mostly anything,66,likes dogs and likes cats,f,single
27,anything,68,likes dogs and has cats,f,single
38,mostly anything,70,NA,m,available
27,NA,74,NA,m,single
44,NA,63,NA,f,single
52,NA,66,NA,f,single
33,mostly anything,60,NA,f,single
28,mostly anything,67,likes dogs and likes cats,f,single
37,mostly anything,79,likes dogs and likes cats,m,single
28,mostly vegetarian,61,likes dogs,f,single
32,NA,69,likes dogs,m,single
29,NA,69,likes dogs and likes cats,f,single
31,strictly vegetarian,67,likes dogs and likes cats,m,single
42,anything,71,has dogs,m,single
32,mostly anything,63,likes dogs and dislikes cats,f,single
28,mostly anything,67,likes dogs and likes cats,m,single
38,anything,63,NA,f,single
27,NA,64,likes dogs,f,single
19,NA,62,has dogs,f,single
27,anything,65,NA,f,single
28,mostly anything,67,likes dogs,m,single
29,anything,66,likes dogs and likes cats,f,seeing someone
31,strictly anything,63,likes dogs and has cats,f,single
27,NA,63,likes dogs and dislikes cats,f,single
43,strictly anything,69,likes dogs and has cats,f,single
43,anything,71,has cats,m,single
24,mostly anything,69,likes dogs,f,single
34,NA,67,likes cats,f,single
30,mostly anything,66,has dogs and has cats,f,seeing someone
59,mostly anything,62,has dogs,f,single
33,mostly anything,72,likes dogs and likes cats,m,single
41,anything,69,NA,m,single
58,NA,69,NA,m,single
24,mostly vegetarian,59,likes dogs and has cats,f,single
39,NA,74,likes cats,m,single
33,NA,70,likes dogs and likes cats,m,single
43,strictly anything,65,likes dogs and has cats,f,single
29,mostly anything,70,likes dogs and dislikes cats,m,single
28,NA,66,likes dogs and likes cats,f,single
21,mostly anything,70,NA,m,single
35,NA,64,likes dogs and likes cats,f,single
32,NA,69,likes dogs and likes cats,m,single
42,anything,63,has dogs and has cats,f,single
23,NA,62,likes dogs and likes cats,f,single
30,strictly anything,68,has dogs and likes cats,f,single
27,NA,71,NA,m,single
41,NA,71,likes dogs and likes cats,f,single
33,mostly anything,69,has dogs,m,single
58,mostly anything,70,NA,f,single
26,NA,72,likes dogs,m,single
50,mostly anything,66,likes dogs,f,single
45,NA,65,NA,f,single
66,mostly anything,65,likes dogs and likes cats,f,single
33,strictly anything,68,likes dogs and likes cats,m,seeing someone
32,NA,68,NA,m,single
53,NA,62,has dogs,f,single
28,mostly anything,72,NA,m,single
22,strictly vegetarian,63,likes dogs and has cats,f,single
19,NA,73,has dogs and likes cats,m,single
35,mostly other,67,likes dogs,m,single
51,NA,65,NA,f,single
30,mostly anything,69,likes dogs and likes cats,m,single
29,mostly other,80,likes dogs and dislikes cats,m,single
32,NA,61,has dogs,f,seeing someone
45,NA,63,likes dogs and dislikes cats,f,single
28,mostly anything,73,has dogs,m,single
36,NA,63,has cats,f,single
40,NA,71,NA,m,available
